vous	v u
afin	a f ɛ̃
agenouillé	a ʒ n u j e
agissaient	a ʒ i s s ɛ
agissaient	a ʒ i s ɛ
agitant	a ʒ i t ɑ̃
agite	a ʒ i t
agonisant	a ɡ ɔ ɲ i z ɑ̃
agoniser	a ɡ ɔ ɲ i z e
agrandis	a ɡ ʁ ɑ̃ d i
agressif	a ɡ ʁ e s i f
agrippés	a ɡ ʁ i p e
agréer	a ɡ ʁ e e
anges	ɑ̃ ʒ
aguerri	a ɟ e ʁ i
anglais	ɑ̃ ɡ l ɛ
air	ɛ ʁ
anglaise	ɑ̃ ɡ l ɛ z
aisance	s
aisance	ɛ z ɑ̃ s
anglaises	ɑ̃ ɡ l ɛ z
ai	e
aije	e ʒ
aije	ɛ ʒ
ajoutatil	a ʒ u t a j
ajoutatil	a ʒ u t a t i
ajoutatil	a ʒ u t a t i l
ajoutatil	a ʒ u t i
ajoutatil	a ʒ u t i l
ajoutant	a ʒ u t ɑ̃
ajouter	a ʒ u t e
ajoutées	a ʒ u t e
ajoutés	a ʒ u t e
anglochinoise	ɑ̃ ɡ l ɔ ʃ i n w a z
ajustée	a ʒ y s t e
alceste	a l s t
alceste	a l s ɛ s t
angoisses	ɑ̃ ɡ w
angoisses	ɑ̃ ɡ w a s
angoisses	ɑ̃ ɡ w s
alcool	a l k ɔ l
aidemémoire	ɛ d ə m e m w a ʁ
animallà	a ɲ i m a l a l a
aldobrandini	a l d ɔ b ʁ ɑ̃ d i ɲ i
alias	a ʎ ɑ
aligné	a ʎ i ɲ e
allaient	a l ɛ
allants	a l ɑ̃
allemands	a l m ɑ̃
allonge	a l ɔ̃ ʒ
aie	ɛ
animation	a ɲ i m a s j ɔ̃
allouent	a l u
allouent	a l w
aient	ɛ
anneau	a n o
aigre	ɛ ɡ ʁ
anneaux	a n o
allumettes	a l y m ɛ t
annoncent	a n ɔ̃ s
annoncent	a n ɔ̃ s s
annoncent	a n ɔ̃ s ɑ̃
aigus	e ɡ y s
annoncé	a n ɔ̃ s e
annonça	a n ɔ̃ s a
annuellement	a n ɥ ɛ l m ɑ̃
anomalie	a n ɔ m a ʎ i
ans	a n
ans	ɑ̃
allure	a l y ʁ
anse	ɑ̃ s
alluvion	a l y v j ɔ̃
ailles	a j
ailée	ɛ l e
antichambre	ɑ̃ t i ʃ ɑ̃ b ʁ
aimele	ɛ m œ l
aimele	ɛ m ə l
aimele	ɛ m ɛ l
antique	ɑ̃ t i k
allée	a l e
aimerait	ɛ m ʁ ɛ
antoinette	ɑ̃ t w a n ɛ t
anxieuse	ɑ̃ k s j ø z
anxieux	ɑ̃ k s j ø
anxiété	ɑ̃ k s j e t e
anéantis	a n e ɑ̃ t i
apaisant	a p ɛ z ɑ̃
apercevait	a p ɛ ʁ s ə v ɛ
apercevez	a p ɛ ʁ s ə v e
apercevrait	a p ɛ ʁ s ə v ʁ ɛ
allégés	a l e ʒ e
aperçu	a p ɛ ʁ s y
alphabet	a l f a b ɛ
alternatives	a l t ɛ ʁ n a t i v
altier	a l t j e
alvarès	a l v a ʁ ɛ s
aimée	e m e
aperçues	a p ɛ ʁ s y
alvéoles	a l v e ɔ l
aperçus	a p ɛ ʁ s y
amalgamaient	a m a l ɡ a m ɛ
amas	a m a
amas	a m a s
amas	a m ɑ
amassée	a m a s e
aperçût	a p ɛ ʁ s y
ambulance	ɑ̃ b y l ɑ̃ s
aplatis	a p l a t i
apothéose	a p ɔ t e o z
aises	ɛ z
aisé	ɛ z e
aisée	ɛ z e
ait	e
ait	ɛ
ajax	a ʒ a k s
ajoutait	a ʒ u t ɛ
ajoute	a ʒ u t
ajoutezlui	a ʒ u t e l ɥ i
ajoutezlui	a ʒ u t e z l ɥ i
apparaissait	a p a ʁ s i s ɛ
apparaissait	a p a ʁ ɛ i s ɛ
ajusté	a ʒ y s t e
amener	a m n e
apparaisse	a p a ʁ ɛ s
apparaît	a p a ʁ ɛ
alambiqués	a l ɑ̃ b i c e
appareil	a p a ʁ ɛ j
amenât	a m n ɑ
amenât	a m ɛ n ɑ
appareils	a p a ʁ ɛ j
amer	a m e
apparence	a p a ʁ ɑ̃ s
apparences	a p a ʁ ɑ̃ s
alentour	a l ɑ̃ t u ʁ
apparition	a p a ʁ i s j ɔ̃
appartement	a p a ʁ t ə m ɑ̃
appartenaient	a p a ʁ n ɛ
appartenaient	a p a ʁ t ə n ɛ
alertes	a l ɛ ʁ t
appartenez	a p a ʁ t ə n e
amies	a m i
alexandrin	a l ɛ k s ɑ̃ d ʁ ɛ̃
apparu	a p a ʁ y
alla	a l a
amoindrit	a m w ɛ̃ d ʁ i
allaitelle	a l ɛ t ɛ l
amoncelées	a m ɔ̃ s l e
amortis	a m ɔ ʁ t i
amour	a m u ʁ
amourettes	a m u ʁ ɛ t
amoureuses	a m u ʁ ø z
amoureux	a m u ʁ ø
ample	ɑ̃ p l
amusante	a m y z ɑ̃ t
apparut	a p a ʁ y
appauvrissant	a p o v ʁ i s ɑ̃
appelant	a p l ɑ̃
appelez	a p ə l e
appelle	a p ɛ l
appelé	a p l e
appelé	a p ə l e
appelés	a p l e
appelés	a p ə l e
appliqua	a p ʎ i k a
appliqués	a p ʎ i c e
apportait	a p ɔ ʁ t ɛ
apportent	a p ɔ ʁ t
apporté	a p ɔ ʁ t e
allasse	a l a s
allezvous	a l e v u
apportée	a p ɔ ʁ t e
amuser	a m y z e
allongés	a l ɔ̃ ʒ e
apprenait	a p ʁ ə n ɛ
amusée	a m y z e
allonsnous	a l ɔ̃ n u
apprentissage	a p ʁ ɑ̃ t i s a ʒ
approchait	a p ʁ ɔ ʃ ɛ
approché	a p ʁ ɔ ʃ e
approchée	a p ʁ ɔ ʃ e
approfondir	a p ʁ ɔ f ɔ̃ d i ʁ
approximatifs	a p ʁ ɔ k s i m a t i f
apprécier	a p ʁ e s j a s e
apprécier	a p ʁ e s j e
appréhender	a p ʁ e ɑ̃ d e
appuya	a p ɥ i j a
appuyant	a p ɥ i j ɑ̃
appuyée	a p ɥ i j e
allumer	a l y m e
aprèsmidic'était	a p ʁ ɛ m i d i e t ɛ
aprèsmidic'était	a p ʁ ɛ m i d i k e t ɛ
aprèsmidic'était	a p ʁ ɛ m i d i s e t ɛ
allumettebougie	a l y m b u ʒ i
allumettebougie	a l y m ɛ b u ʒ i
amère	a m ɛ ʁ
araignées	a ʁ ɛ ɲ e
allât	a l ɑ
amélioré	a m e ʎ ɔ ʁ e
américaine	a m e ʁ i c ɛ n
allèrent	a l ɛ ʁ
analogues	a n a l ɔ ɡ
arbres	a ʁ b ʁ
allégea	a l e ʒ a
allégresse	a l e ɡ ʁ ɛ s
ancien	ɑ̃ s j ɛ̃
anciennes	ɑ̃ s j ɛ n
arbustes	a ʁ b y s t
archimède	a ʁ ʃ i m ɛ d
allô	a l o
anecdote	a n ɛ k d ɔ t
angles	ɑ̃ ɡ l
angleterre	ɑ̃ ɡ l ə t ɛ ʁ
architecte	a ʁ ʃ i t ɛ k t
angoisse	ɑ̃ ɡ w a s
architecture	a ʁ ʃ i t ɛ k t y ʁ
alternativement	a l t ɛ ʁ n a t i v m ɑ̃
ardemment	a ʁ d a m ɑ̃
angélique	ɑ̃ ʒ e ʎ i k
argent	a ʁ ʒ
argent	a ʁ ʒ ɑ̃
argent	a ʁ ʒ ɑ̃ t
argent	a ʁ ʒ ɑ̃ t ɛ
amalgamant	a m a l ɡ a m ɑ̃
animal	a ɲ i m a l
amarrée	a m a ʁ e
argiles	a ʁ ʒ i l
amassé	a m a s e
amateurs	a m a t œ ʁ
ambassadeurs	ɑ̃ b a s a d œ ʁ
animaux	a ɲ i m o
animée	a ɲ i m e
argyraspides	a ʁ ʒ i ʁ a s p i d
amende	a m ɑ̃ d
aristophane	a ʁ i s t ɔ f a n
amenezmoi	a m n e m w a
amenezmoi	a m ɛ n e m w a
annonce	a n ɔ̃ s
armait	a ʁ m ɛ
amers	a m ɛ ʁ
annonces	a n ɔ̃ s
arme	a ʁ m
ami	a m i
armes	a ʁ m
armoire	a ʁ m w a ʁ
annonçait	a n ɔ̃ s ɛ
annule	a n y l
année	a n e
armoriées	a ʁ m ɔ ʁ j e
amical	a m i k a l
années	a n e
amnistiés	a m ɲ i s t j e
armurier	a ʁ m y ʁ j e
anonyme	a n ɔ ɲ i m
amollit	a m ɔ ʎ i
armée	a ʁ m e
amont	a m ɔ̃
anthropométrique	ɑ̃ t ʁ ɔ p ɔ m e t ʁ i k
armés	a ʁ m e
arpin	a ʁ p ɛ̃
anxieusement	ɑ̃ k s j ø z m ɑ̃
anxiétés	ɑ̃ k s j e t e
arracha	a ʁ a ʃ a
arracher	a ʁ a ʃ e
arraché	a ʁ a ʃ e
anéantissement	a n e ɑ̃ t i s m ɑ̃
amoureuse	a m u ʁ ø z
apercevoir	a p ɛ ʁ s ə v w a ʁ
aperçoivent	a p ɛ ʁ s w a v
amusetoi	a m y z w a
amusetoi	a m y z ɛ t w a
amène	a m ɛ n
aperçue	a p ɛ ʁ s y
arrachés	a ʁ a ʃ e
arrangeait	a ʁ ɑ̃ ʒ ɛ
arranger	a ʁ ɑ̃ ʒ e
arrangé	a ʁ ɑ̃ ʒ e
arrestation	a ʁ ɛ s t a s j ɔ̃
arriva	a ʁ i v a
arrivaient	a ʁ i v ɛ
arrivait	a ʁ i v ɛ
arrivants	a ʁ i v ɑ̃
arriver	a ʁ i v e
arriveraient	a ʁ i v ʁ ɛ
arrivons	a ʁ i v ɔ̃
arrivé	a ʁ i v e
arrivée	a ʁ i v e
arrivés	a ʁ i v e
arrière	a ʁ j ɛ ʁ
arrièrepensée	a ʁ j ɛ ʁ ə p ɑ̃ s e
arrièrerecoins	a ʁ j ɛ ʁ ə ʁ ə k w ɛ̃
arrondissement	a ʁ ɔ̃ d i s m ɑ̃
arrêter	a ʁ ɛ t e
arrêtons	a ʁ ɛ t ɔ̃
arrêtée	a ʁ ɛ t e
arrêtés	a ʁ ɛ t e
arsene	a ʁ s ə n
article	a ʁ t i k l
articula	a ʁ t i k y l a
articulations	a ʁ t i k y l a s j ɔ̃
artilleurs	a ʁ t i j œ ʁ
artiste	a ʁ t i s t
aperçurent	a p ɛ ʁ s y ʁ
analogue	a n a l ɔ ɡ
artistement	a ʁ t i s t ə m ɑ̃
aperçut	a p ɛ ʁ s y
artères	a ʁ t ɛ ʁ
aplanit	a p l a ɲ i
as	a
as	a s
as	a s ɑ
as	a ɛ s
as	ɑ
as	ɑ s
apollon	a p ɔ l ɔ̃
apothéoses	a p ɔ t e o z
astu	a s t y
angle	ɑ̃ ɡ l
angéliquec'est	ɑ̃ ʒ e ʎ i k s ɛ
angéliquec'est	ɑ̃ ʒ e ʎ i k ɛ
ann	a n
annales	a n a l
annoncèrent	a n ɔ̃ s ɛ ʁ
ascension	a s ɑ̃ s j ɔ̃
apparaissent	a p a ʁ s
apparaissent	a p a ʁ s i s
apparaissent	a p a ʁ ɛ s
aspect	a s p ɛ k t
aspirait	a s p i ʁ ɛ
anormal	a n ɔ ʁ m a l
antennes	ɑ̃ t ɛ n
antiloque	ɑ̃ t i l ɔ k
assaillants	a s a j ɑ̃
apparents	a p a ʁ ɑ̃
antiquailles	ɑ̃ t i k w a j
assailli	a s a j i
assainis	a s ɛ ɲ i
assassinats	a s a s i n a
assassiné	a s a s i n e
asseoir	a s w a ʁ
antre	ɑ̃ t ʁ
appartements	a p a ʁ t ə m ɑ̃
assez	a s e
assez	a s e s e
appartenait	a p a ʁ t ə n ɛ
assigné	a s i ɲ e
assis	a s i
assise	a s i z
appartenir	a p a ʁ t ə ɲ i ʁ
appauvrie	a p o v ʁ i
appela	a p l a
appelait	a p l ɛ
appeler	a p ə l e
assista	a s i s t a
août	a u
août	u
août	u t
apaisé	a p e
apaisé	a p e z e
aparté	a p a ʁ t e
apercevant	a p ɛ ʁ s ə v ɑ̃
apercevons	a p ɛ ʁ s ə v ɔ̃
assistance	a s i s t ɑ̃ s
appellerait	a p ɛ l ʁ ɛ
assistants	a s i s t ɑ̃
appliquer	a p ʎ i c e
appoint	a p w ɛ̃
apportant	a p ɔ ʁ t ɑ̃
assistât	a s i s t ɑ
apporterait	a p ɔ ʁ t ə ʁ e
apporterait	a p ɔ ʁ t ə ʁ ɛ
assiégeants	a s j e ʒ ɑ̃
aphorismes	a f ɔ ʁ i s m
association	a s ɔ s j a s j ɔ̃
apportés	a p ɔ ʁ t e
assombrissement	a s ɔ̃ b ʁ i s m ɑ̃
apprenez	a p ʁ ə n e
apparaissant	a p a ʁ e s ɑ̃
apparaissant	a p a ʁ s i s ɑ̃
apparaissant	a p a ʁ ɛ s ɑ̃
appris	a p ʁ i
assujettissait	a s y ʒ e t i s ɛ
approcha	a p ʁ ɔ ʃ a
assurezvous	a s y ʁ e v u
astres	a s t ʁ
appareillement	a p a ʁ ɛ j m ɑ̃
athènes	a t ɛ n
approchant	a p ʁ ɔ ʃ ɑ̃
approches	a p ʁ ɔ ʃ
approchés	a p ʁ ɔ ʃ e
approprié	a p ʁ ɔ p ʁ i j e
approuvant	a p ʁ u v ɑ̃
appréciation	a p ʁ e s j a s j ɔ̃
appréciés	a p ʁ e s j e
apparent	a p a ʁ
atmosphériques	a t m ɔ s f e ʁ i k
apprêts	a p ʁ ɛ
attablés	a t a b l e
appuie	a p ɥ i
appuyait	a p ɥ i j ɛ
appuyait	a p ɥ i ɛ
appuyé	a p ɥ i j e
appuyées	a p ɥ i j e
aprèsdemain	a p ʁ ɛ d m ɛ̃
aptitudes	a p t i t y d
attachait	a t a ʃ ɛ
apparitions	a p a ʁ i s j ɔ̃
aqueduc	a k d y k
attaché	a t a ʃ e
attaqua	a t a k a
attaquaient	a t a c ɛ
arche	a ʁ ʃ
appartenant	a p a ʁ t ə n ɑ̃
attaquent	a t a k
arches	a ʁ ʃ
appartenu	a p a ʁ t ə n y
attaqué	a t a c e
attaqués	a t a c e
appel	a p ɛ l
attardé	a t a ʁ d e
archives	a ʁ ʃ i v
appelaient	a p l ɛ
ardeur	a ʁ d œ ʁ
atteignant	a t ɛ ɲ ɑ̃
ardu	a ʁ d y
atteindre	a t ɛ̃ d ʁ
appellent	a p ɛ l
atteints	a t ɛ̃
appelée	a p l e
appelée	a p ə l e
applaudit	a p l o d i
appliquée	a p ʎ i c e
apporta	a p ɔ ʁ t a
apporte	a p ɔ ʁ t
apporter	a p ɔ ʁ t e
attend	a t ɑ̃
argenteries	a ʁ ʒ ɑ̃ t ʁ i
apporteraitil	a p ɔ ʁ t ə ʁ e t i
apporteraitil	a p ɔ ʁ t ə ʁ ɛ t i
apprendre	a p ʁ ɑ̃ d ʁ
apprit	a p ʁ i
approchaient	a p ʁ ɔ ʃ ɛ
attendaient	a t ɑ̃ d ɛ
approchez	a p ʁ ɔ ʃ e
aristogiton	a ʁ i s t ɔ ʒ i t ɔ̃
attendait	a t ɑ̃ d ɛ
approuva	a p ʁ u v a
approuva	a p ʁ u v ɑ
attendent	a t ɑ̃ d
attendit	a t ɑ̃ d i
approuvez	a p ʁ u v e
arlequinade	a ʁ l c i n a d
arlequinade	a ʁ l ə c i n a d
attendre	a t ɑ̃ d ʁ
appréciable	a p ʁ e s j a b l
attendri	a t ɑ̃ d ʁ i
attendrissement	a t ɑ̃ d ʁ i s m ɑ̃
apprêtait	a p ʁ ɛ t ɛ
attente	a t ɑ̃ t
attention	a t ɑ̃ s j ɔ̃
attentivement	a t ɑ̃ t i v m ɑ̃
apprêtèrent	a p ʁ ɛ t ɛ ʁ
armoires	a ʁ m w a ʁ
attiré	a t i ʁ e
appuyer	a p ɥ i j e
appétit	a p e t i
aprèsmidi	a p ʁ ɛ m i d i
armure	a ʁ m y ʁ
attitude	a t i t y d
armé	a ʁ m e
aptes	a p t
attrapé	a t ʁ a p e
attribués	a t ʁ i b ɥ e
atténuantes	a t e n ɥ ɑ̃ t
apôtres	a p o t ʁ
audelà	o d l a
audelà	o d ə l a
audevant	o d v ɑ̃
aube	o b
aubryleboucher	o b ʁ i b u ʃ e
audacieuse	o d a s j ø z
armées	a ʁ m e
araignée	a ʁ ɛ ɲ e
auditoire	o d i t w a ʁ
augmentait	o ɡ m ɑ̃ t ɛ
augmentent	o ɡ m ɑ̃ t
augura	o ɡ y ʁ a
auguste	o ɡ y s t
aujourdhui	o ʒ ɔ ʁ d ɥ i
auparavant	o p a ʁ a v ɑ̃
auquel	o c ɛ l
auquel	o k l
aurai	o ʁ e
aurai	o ʁ ɛ
aurais	o ʁ ɛ
auraistu	o ʁ e s t y
auriez	o ʁ j e
arpentait	a ʁ p ɑ̃ t ɛ
arrache	a ʁ a ʃ
auront	o ʁ ɔ̃
arbre	a ʁ b ʁ
aurore	o ʁ ɔ ʁ
arrachée	a ʁ a ʃ e
auréole	o ʁ e ɔ l
arcade	a ʁ k a d
arrangea	a ʁ ɑ̃ ʒ a
aussi	o s i
arrangements	a ʁ ɑ̃ ʒ m ɑ̃
aussitôt	o s i t o
arras	a ʁ ɑ
architectes	a ʁ ʃ i t ɛ k t
ardillons	a ʁ d i j ɔ̃
ardillons	a ʁ d j ɔ̃
argentlà	a ʁ ʒ ɑ̃ t l a
austin	o s t ɛ̃
argument	a ʁ ɡ y m
argument	a ʁ ɡ y m ɑ̃
arriv	a ʁ i v
austère	o s t ɛ ʁ
arisba	a ʁ i z b a
autant	o t ɑ̃
aristocratique	a ʁ i s t ɔ k ʁ a t i k
autel	o t ɛ l
arrivant	a ʁ i v ɑ̃
automatique	o t ɔ m a t i k
arrive	a ʁ i v
automobile	o t ɔ m ɔ b i l
arrivera	a ʁ i v ʁ a
arriveraiton	a ʁ i v ʁ ɛ t ɔ̃
autorise	o t ɔ ʁ i z
autorité	o t ɔ ʁ i t e
autorités	o t ɔ ʁ i t e
autre	o t ʁ
autrefois	o t ʁ ə f w a
autres	o t ʁ
armement	a ʁ m ɑ̃
armoriés	a ʁ m ɔ ʁ j e
arpenter	a ʁ p ɑ̃ t e
arrachant	a ʁ a ʃ ɑ̃
autresc'est	o t ʁ s ɛ
autresc'est	o t ʁ ə s ɛ
autresc'est	o t ʁ ə ɛ
autresc'est	o t ʁ ə ɛ s k ɛ
autresc'est	o t ʁ ɛ
autresc'est	o t ʁ ɛ s k ɛ
autresc'est	o t ʁ ɛ s ɛ
autresc'est	o t ʁ ɛ ɛ
autrui	o t ʁ ɥ i
arracherait	a ʁ a ʃ ʁ ɛ
arrange	a ʁ ɑ̃ ʒ
arrangement	a ʁ ɑ̃ ʒ m ɑ̃
arrangezvous	a ʁ ɑ̃ ʒ e v u
aux	o
arrivèrent	a ʁ i v ɛ ʁ
auxquelles	o c ɛ l
auxquels	o c ɛ l
avaientils	a v z ɛ t i
arrièrecour	a ʁ j ɛ ʁ k u ʁ
arrièrecour	a ʁ j ɛ ʁ ə k u ʁ
avait	a v ɛ
avaitil	a v e t i
avaitil	a v t i
avaitil	a v ɛ t i
aval	a v a l
avalanche	a v a l ɑ̃ ʃ
avancement	a v ɑ̃ s m ɑ̃
avancés	a v ɑ̃ s e
arriverait	a ʁ i v ʁ ɛ
arriviez	a ʁ i v j e
arrivâton	a ʁ i v ɑ t ɔ̃
avantbras	a v t b ʁ ɑ
avantbras	a v ɑ̃ t b ʁ ɑ
arriérés	a ʁ j e ʁ e
avantpostes	a v ɑ̃ t p ɔ s t
arrièregoût	a ʁ j ɛ ʁ ə ɡ u
arrièregoût	a ʁ j ɛ ʁ ɡ u
avança	a v ɑ̃ s a
arrêts	a ʁ ɛ
arrêts	a ʁ ɛ ɛ
arrêté	a ʁ ɛ t e
avançait	a v ɑ̃ s ɛ
avare	a v a ʁ
avenir	a v ɲ i ʁ
aventure	a v ɑ̃ t y ʁ
aventures	a v ɑ̃ t y ʁ
aventureuse	a v ɑ̃ t y ʁ ø z
averses	a v ɛ ʁ s
avertir	a v ɛ ʁ t i ʁ
avertissezmoi	a v ɛ ʁ t i s e m w a
aveugle	a v œ ɡ l
aveuglé	a v œ ɡ l e
aveuglés	a v œ ɡ l e
aveux	a v ø
avez	a v e
avidement	a v i d m ɑ̃
ars	a ʁ
aviezvous	a v j e v u
arriéré	a ʁ j e ʁ e
arrondi	a ʁ ɔ̃ d i
avis	a v i
arsène	a ʁ s ɛ n
art	a ʁ
art	a ʁ t
articles	a ʁ t i k l
articulant	a ʁ t i k y l ɑ̃
articulé	a ʁ t i k y l e
artilleries	a ʁ t i j ʁ i
artistes	a ʁ t i s t
avocat	a v ɔ k a
arrose	a ʁ o z
artistique	a ʁ t i s t i k
avocats	a v ɔ k a
avoir	a v w a ʁ
avoisinants	a v w a z i n ɑ̃
avortent	a v ɔ ʁ t
avortent	a v ɔ ʁ t ɑ̃
avoue	a v u
avouez	a v w e
avoué	a v w e
arrêt	a ʁ ɛ
arrêt	a ʁ ɛ t
arrêt	a ʁ ɛ t ɛ
arrêt	a ʁ ɛ ɛ
asiles	a z i l
arrêta	a ʁ ɛ t a
arrête	a ʁ ɛ t
aspects	a s p ɛ k
avril	a v ʁ i
avril	a v ʁ i l
aspirer	a s p i ʁ e
axyle	a k s i l
arrêtez	a ʁ ɛ t e
ayez	ɛ j e
assainir	a s ɛ ɲ i ʁ
assaisonnait	a s ɛ z ɔ n ɛ
azelma	a z ɛ l m a
aérien	a e ʁ j ɛ̃
aînée	ɛ n e
arrêtées	a ʁ ɛ t e
arsenal	a ʁ s ə n a l
aïe	a i
aïe	a j
assaut	a s o
articuler	a ʁ t i k y l e
aïeul	a j œ l
assauts	a s o
articulée	a ʁ t i k y l e
assiettes	a s j ɛ t
assistait	a s i s t ɛ
assistait	a s i t ɛ
assiégea	a s j e ʒ a
b	b
b	b e
babel	b a b ɛ l
arétaon	a ʁ e t ɑ̃
ascendant	a s ɑ̃ d ɑ̃
babylone	b a b i l ɔ n
asile	a z i l
bacchanale	b a k a n a l
assombrie	a s ɔ̃ b ʁ i
bagages	b a ɡ a ʒ
assoupis	a s u p i
aspirant	a s p i ʁ ɑ̃
bagne	b a ɲ
bagration	b a ɡ ʁ a s j ɔ̃
bahorel	b a ɔ ʁ ɛ l
assourdissement	a s u ʁ d i s m ɑ̃
baigné	b ɛ ɲ e
bail	b a j
assaillie	a s a j i
bailli	b a j i
assure	a s y ʁ
assurer	a s y ʁ e
assurée	a s y ʁ e
astre	a s t ʁ
astronome	a s t ʁ ɔ n ɔ m
baisait	b ɛ z i z ɛ
baisait	b ɛ z ɛ
atout	a t u
assaisonnezlemoi	a s ɛ z ɔ n e l m w a
assaisonnezlemoi	a s ɛ z ɔ n e l ə m w a
assaisonnezlemoi	a s ɛ z ɔ n e z l m w a
assaisonnezlemoi	a s ɛ z ɔ n e z l ə m w a
baiser	b e z e
baiser	b ɛ z e
atouts	a t u
assassinat	a s a s i n a
atroce	a t ʁ ɔ s
baisers	b e s ɛ ʁ
baisers	b ɛ z e
atrophie	a t ʁ ɔ f i
attache	a t a ʃ
baissait	b
baissait	b e s ɛ
baissait	b i s ɛ
baissait	b s ɛ
baissait	b ɛ
baisser	b e s e
baisser	b ɛ s e
attachés	a t a ʃ e
asseyezvous	a s ɛ j e v u
attaquait	a t a c ɛ
baissée	b e
baissée	b e s
baissée	b e s e
baissée	b s e
baissée	b ɛ s e
attaque	a t a k
bal	b a l
attaquons	a t a k ɔ̃
baladine	b a l a d i n
assises	a s i z
attaquée	a t a c e
balai	b a l e
balai	b a l ɛ
attardées	a t a ʁ d e
atteignit	a t ɛ ɲ i t
atteint	a t ɛ̃
balance	b a l ɑ̃ s
assistaitelle	a s i s i t ɛ l
assistaitelle	a s i s t ɛ l
assister	a s i s t e
assisté	a s i s t e
balayaient	b a l ɛ j ɛ
attelé	a t l e
attelé	a t ə l e
balbutia	b a l b y s j a
assiégés	a s j e ʒ e
balbutiait	b a l b y s j ɛ
attendais	a t ɑ̃ d ɛ
associations	a s ɔ s j a s j ɔ̃
assoupi	a s u p i
balbutiant	b a l b y s j ɑ̃
assourdi	a s u ʁ d i
attendant	a t ɑ̃ d ɑ̃
balcon	b a l k ɔ̃
assujettie	a s y ʒ e t i
assujettie	a s y ʒ ɛ t i
balivernes	b a ʎ i v ɛ ʁ n
assujettit	a s y ʒ e t i
assujettit	a s y ʒ ɛ t i
balle	b a l
assura	a s y ʁ a
balles	b a l
attendrez	a t ɑ̃ d ʁ e
ballon	b a l ɔ̃
assuré	a s y ʁ e
astiquée	a s t i c e
balustrade	b a l y s t ʁ a d
ban	b ɑ̃
banale	b a n a l
bancs	b ɑ̃ k
bande	b ɑ̃ d
bandes	b ɑ̃ d
bandit	b ɑ̃ d i
bandé	b ɑ̃ d e
attendu	a t ɑ̃ d y
attendue	a t ɑ̃ d y
attentat	a t ɑ̃ t a
astyale	a j a l
attentive	a t ɑ̃ t i v
banknotes	b ɑ̃ c n ɔ t
banknotes	b ɑ̃ k n ɔ t
athénienne	a t e ɲ ɛ n
banque	b ɑ̃ k
banquet	b ɑ̃ c ɛ
attirés	a t i ʁ e
banquette	b ɑ̃ c ɛ t
atrocité	a t ʁ ɔ s i t e
attitudes	a t i t y d
banquier	b ɑ̃ c e
baraque	b a ʁ a k
attacha	a t a ʃ a
barbe	b a ʁ b
attribué	a t ʁ i b ɥ e
attroupés	a t ʁ u p e
attacher	a t a ʃ e
atténuation	a t e n ɥ a s j ɔ̃
audessus	o d ə s y
attachées	a t a ʃ e
barillet	b a ʁ i j ɛ
aubergiste	o b ɛ ʁ ʒ i s t
attaquer	a t a c e
atteignait	a t ɛ ɲ ɛ
attenait	a t n ɛ
aucun	o c ɛ̃
attendiez	a t ɑ̃ d j e
aucune	o k y n
attendra	a t ɑ̃ d ʁ a
baron	b a ʁ ɔ̃
audace	o d a s
audeat	o d i t
audience	o d j ɑ̃ s
auge	o ʒ
augmenta	o ɡ m ɑ̃ t a
augmentation	o ɡ m ɑ̃ t a s j ɔ̃
augmentée	o ɡ m ɑ̃ t e
augustes	o ɡ y s t
auprès	o p ʁ ɛ
baronne	b a ʁ ɔ n
aura	o ʁ a
auraient	o ʁ ɛ
barque	b a ʁ k
auraitil	o ʁ e t i
barrage	b a ʁ a ʒ
barrage	b ɑ ʁ a ʒ
auriezvous	o ʁ i j e v u
auriezvous	o ʁ j e v u
attendront	a t ɑ̃ d ʁ ɔ̃
barrait	b a ʁ ɛ
barredubec	b a ʁ d y b ɛ k
barredubec	b a ʁ d œ b ɛ k
barres	b a ʁ
barricade	b a ʁ i k a d
attendît	a t ɑ̃ d i
barricader	b a ʁ i k a d e
barricades	b a ʁ i k a d
barricadée	b a ʁ i k a d e
barrée	b a ʁ e
barthélemy	b a ʁ t e l e m i
basempire	b a z ɑ̃ p i ʁ
basempire	b z ɑ̃ p i ʁ
basempire	b ɑ̃ p i ʁ
basempire	b ɛ ɑ̃ p i ʁ
basile	b a z i l
basque	b a s k
basse	b ɑ s
bassin	b a s ɛ̃
auréoles	o ʁ e ɔ l
bastille	b a s t i j
attentif	a t ɑ̃ t i f
bastilles	b a s t i j
baton	b a t ɔ̃
bat	b a
bataille	b a t a j
bataille	b a t ɑ j
batailles	b a t a j
batailles	b a t ɑ j
bataillon	b a t a j ɔ̃
bateau	b a t o
batiste	b a t i s t
battait	b a t ɛ
battait	b t ɛ
battant	b a t ɑ̃
battants	b a t ɑ̃
austral	o s t ʁ a l
austérités	o s t e ʁ i t e
attentions	a t ɑ̃ s j ɔ̃
attentions	a t ɑ̃ t j ɔ̃
auteur	o t œ ʁ
battement	b a t m ɑ̃
atterré	a t ɛ ʁ e
automne	o t ɔ n
batterie	b a t ʁ i
battre	b a t ʁ
attira	a t i ʁ a
battu	b a t y
attirent	a t i ʁ
autorisait	o t ɔ ʁ i z ɛ
attirer	a t i ʁ e
battus	b a t y s
bavard	b a v a ʁ
bavard	b a v a ʁ d
bavardait	b a v a ʁ d ɛ
