dijo	d̪ i x o
spacito	s p a θ i t̪ o
ataluña	a t̪ a l u ɲ a
las	l a s
storga	e s t̪ o r ɣ a
atólicos	a t̪ o l i k o s
avarrasa	a β a r a s a
ayeron	a ʝ e ɾ o n
lasa	l a s a
ayetano	a ʝ e t̪ a n o
sunción	s u n θ j o n
ayó	a ʝ o
onnet	o n e
onnet	o n e t̪
onnet	o n e ð
azorla	a θ o r l a
ravo	r a β o
aía	a i a
ravoneles	r a β o n e l e s
terrado	t̪ e r a ð o
rigadier	r i ɣ a ð j e ɾ
ringas	r i ŋ ɡ a s
elestino	e l e s t̪ i n o
errando	e r a n d̪ o
urgos	u r ɣ o s
uscamos	u s k a m o s
tiende	t̪ j e n d̪ e
travesamos	t̪ ɾ a β e s a m o s
usqué	u s c e
trás	t̪ ɾ a s
un	u n
yron	i ɾ o n
habert	a β e r t̪
éjar	e x a ɾ
harles	a r l e s
hina	i n a
ustriaabandonó	u s t̪ ɾ a i a β a n d̪ o n o
ustriaabandonó	u s t̪ ɾ i a β a n d̪ o n o
ustriaabandonó	u s t̪ ɾ j a a β a n d̪ o n o
ustriaabandonó	u s t̪ ɾ j a β a n d̪ o n o
hinitas	i n i t̪ a s
abeza	a β e θ a
abrerizos	a β ɾ e ɾ i θ o s
aerán	a e ɾ a n
aleta	a l e t̪ a
aeza	a e θ a
ajé	a ç e
ajé	ç e
albucía	a l β u θ i a
arandal	a ɾ a n d̪ a l
arberovale	a r β e ɾ o β a l e
arquillo	a r c i ʎ o
artolomé	a r t̪ o l o m e
hiporro	i p o r o
hiquilla	i c i ʎ a
hiquilla	ç i c i ʎ a
astábame	a s t̪ a β a m e
ebe	e β e
hriste	ɾ i s t̪ e
allando	a ʎ a n d̪ o
ampo	a m p o
anarias	a n a ɾ j a s
eben	e β e n
enditos	e n d̪ i t̪ o s
hristo	ɾ i s t̪ o
iegos	j e ɣ o s
ifuentes	i f w e n t̪ e s
antalicio	a n t̪ a l i θ j o
arecemos	a ɾ e θ e m o s
arlitos	a r l i t̪ o s
arnero	a r n e ɾ o
iruelo	i ɾ w e l o
iudadeal	j u ð a ð e a l
iudadeal	ɟʝ u ð a ð e a l
iudadodrigo	j u ð a ð o ð ɾ i ɣ o
iudadodrigo	ɟʝ u ð a ð o ð ɾ i ɣ o
lara	l a ɾ a
essires	e s a i ɾ e s
essires	e s i ɾ e s
ierzo	j e r θ o
ierzo	ɟʝ e r θ o
onaparciana	o n a p a ɾ θ j a n a
laramente	l a ɾ a m e n t̪ e
artujos	a r t̪ u x o s
oge	o ç e
asas	a s a s
ordeaba	o r ð e a β a
ojos	o x o s
oulogne	o u l o ɣ n e
rasil	r a s i l
ollado	o ʎ a ð o
rindamos	r i n d̪ a m o s
runn	r u n
uenaventura	w e n a β e n t̪ u ɾ a
omellesco	o m e l e s k o
ompañeras	o m p a ɲ e ɾ a s
ompletaban	o m p l e t̪ a β a n
omprender	o m p ɾ e n d̪ e ɾ
omprendí	o m p ɾ e n d̪ i
oncluido	o ŋ k l w i ð o
onfiemos	o n f j e m o s
onfía	o n f i a
urguillos	u r ʝ i ʎ o s
árbaros	a r β a ɾ o s
abalmente	a β a l m e n t̪ e
onocerán	o n o θ e ɾ a n
abezón	a β e θ o n
astillas	a s t̪ i ʎ a s
onsejo	o n s e x o
alabria	a l a β ɾ j a
alzada	a l θ a ð a
atalina	a t̪ a l i n a
onsintiolo	o n s i n t̪ j o l o
onsulté	o n s u l t̪ e
ontele	o n t̪ e l e
ontento	o n t̪ e n t̪ o
ontestele	o n t̪ e s t̪ e l e
ausaba	a u s a β a
ontra	o n t̪ ɾ a
ontéstame	o n t̪ e s t̪ a m e
aí	a i
aían	a i a n
ebada	e β a ð a
onvertiría	o m b e r t̪ i ɾ i a
onvertiría	u m b e r t̪ i ɾ i a
antos	a n t̪ o s
opas	o p a s
elindos	e l i n d̪ o s
orona	o ɾ o n a
arabanchel	a ɾ a β a n tʃ e l
errose	e r o s e
orpus	o r p u s
euta	e u t̪ a
orramos	o r a m o s
orren	o r e n
orreos	o r e o s
orriente	o r j e n t̪ e
hamberga	a m b e r ɣ a
hichester	i tʃ e s t̪ e ɾ
hinchón	i n tʃ o n
orrimos	o r i m o s
orte	o r t̪ e
hipre	i p ɾ e
hiquillo	i c i ʎ o
horicero	o ɾ i θ e ɾ o
otton	o t̪ o n
ibeles	i β e l e s
incopedia	i ŋ k o p e ð j a
lavaba	l a β a β a
linton	l i n t̪ o n
obos	o β o s
ogí	o ç i
arrera	a r e ɾ a
ole	o l e
omemos	o m e m o s
omparando	o m p a ɾ a n d̪ o
ompletaron	o m p l e t̪ a ɾ o n
omprendieron	o m p ɾ e n d̪ j e ɾ o n
oncluida	o ŋ k l w i ð a
onfieso	o n f j e s o
onfundíanse	o n f u n d̪ i a n s e
onociendo	o n o θ j e n d̪ o
onserven	o n s e r β e n
onsternado	o n s t̪ e r n a ð o
ontemplando	o n t̪ e m p l a n d̪ o
ontinuaba	o n t̪ i n w a β a
ontre	o n t̪ ɾ e
onvenced	o m b e n θ e ð
onvenced	u m b e n θ e ð
onvidome	o m b i ð o m e
onvidome	u m b i ð o m e
opto	o p t̪ o
opto	o β t̪ o
orremos	o r e m o s
orrientes	o r j e n t̪ e s
orría	o r i a
ortes	o r t̪ e s
oupigny	o u p i n i
oupigny	o u p i ɣ n i
oupigny	o u p i ɣ ɲ i
oupigny	u p i n i
oupigny	u p i ɣ n i
oupigny	u p i ɣ ɲ i
reeríase	r e e r i a s e
reeríase	r e e ɾ i a s e
asa	a s a
reyendo	r e ʝ e n d̪ o
asar	a s a ɾ
ovarrubias	o β a r u β j a s
reyó	r e ʝ o
reímos	r e i m o s
reíame	r e i a m e
risto	r i s t̪ o
ristina	r i s t̪ i n a
ristóbal	r i s t̪ o β a l
uantos	w a n t̪ o s
ubierto	u β j e r t̪ o
uerpo	w e r p o
astillo	a s t̪ i ʎ o
uervatón	w e r β a t̪ o n
astro	a s t̪ ɾ o
ruz	r u θ
uesta	w e s t̪ a
uarta	w a r t̪ a
ausa	a u s a
ava	a β a
uenca	w e ŋ k a
uentan	w e n t̪ a n
uerpos	w e r p o s
uéllar	e ʎ a ɾ
uéllar	u e ʎ a ɾ
uéllar	w e l ɾ
uéllar	w e ʎ a ɾ
uéntamelo	w e n t̪ a m e l o
ádiz	a ð i θ
áliz	a l i θ
ámara	a m a ɾ a
íñase	i ɲ a s e
órdoba	o r ð o β a
uéntame	w e n t̪ a m e
ynthia	ɟʝ ɲ a ʝ a
ynthia	ɟʝ ɲ ʝ a
adles	a ð l e s
antzig	a n d̪ θ i ɣ
antzig	a n t̪ θ i ɣ
avid	a β i ð
ebes	e β e s
ebieron	e β j e ɾ o n
ecir	e θ i ɾ
efendí	e f e n d̪ i
añete	a ɲ e t̪ e
erinola	e ɾ i n o l a
ejando	e x a n d̪ o
ejándome	e x a n d̪ o m e
elante	e l a n t̪ e
aba	a β a
aoíz	a o i θ
eme	e m e
emolido	e m o l i ð o
evallos	e β a ʎ o s
errotemos	e r o t̪ e m o s
escansemos	e s k a n s e m o s
ebajo	e β a x o
escuiden	e s k w i ð e n
harente	a ɾ e n t̪ e
eclaro	e k l a ɾ o
eseando	e s e a n d̪ o
ejadle	e x a ð l e
eshacíase	e s a θ i a s e
eje	e ç e
ejonos	e x o n o s
eslizándonos	e s l i θ a n d̪ o n o s
esmarets	e s m a r e t̪ s
esmarets	e s m a ɾ e t̪ s
espeñaperros	e s p e ɲ a p e r o s
espidiose	e s p i ð j o s e
ejémosles	e ç e m o s l e s
elicias	e l i θ j a s
esapártense	e s a p a r t̪ e n s e
escosío	e s k o s i o
escripción	e s k ɾ i β θ j o n
etiene	e t̪ j e n e
etúvome	e t̪ u β o m e
etúvome	e ð u b o m e
etúvome	e ð u β o m e
iario	j a ɾ j o
iario	ɟʝ a ɾ j o
ice	i θ e
iciembre	i θ j e m b ɾ e
esenvainó	e s e m b a i n o
hristi	ɾ i s t̪ i
iciéndolo	i θ j e n d̪ o l o
esesperado	e s e s p e ɾ a ð o
id	i ð
iderot	i ð e ɾ o t̪
iderot	i ð e ɾ o ð
iego	j e ɣ o
ieu	i u
ieu	j e u
ificililla	i f i θ i l i ʎ a
igno	i ɣ n o
ime	i m e
io	i o
espedime	e s p e ð i m e
irija	i ɾ i x a
iré	i ɾ e
iríjase	i ɾ i x a s e
ispensad	i s p e n s a ð
istribuyéronse	i s t̪ ɾ i β u ʝ e r o n s e
istribuyéronse	i s t̪ ɾ i β u ʝ e ɾ o n s e
omingo	o m i ŋ ɡ o
esprecio	e s p ɾ e θ j o
onde	o n d̪ e
orotea	o ɾ o t̪ e a
etall	e t̪ o l
evoré	e β o ɾ e
iudadanos	j u ð a ð a n o s
iudadanos	ɟʝ u ð a ð a n o s
uda	u ð a
uermo	w e r m o
icen	i θ e n
icho	i tʃ o
ulcinea	u l θ i n e a
upont	u p o n t̪
urante	u ɾ a n t̪ e
éjenlo	e ç e n l o
lavó	l a β o
leves	l e β e s
oblenza	o β l e n θ a
ígame	i ɣ a m e
ogió	o x j o
olgose	o l ɣ o s e
olón	o l o n
omencé	o m e n θ e
omenzamos	o m e n θ a m o s
ompañía	o m p a ɲ i a
omponíanla	o m p o n i a n l a
omponíase	o m p o n i a s e
omunicada	o m u n i k a ð a
ondenada	o n d̪ e n a ð a
onfunde	o n f u n d̪ e
íjome	i x o m e
ímelo	i m e l o
ongosto	o ŋ ɡ o s t̪ o
chándome	tʃ a n d̪ o m e
chévarri	tʃ e β a r i
onsejos	o n s e x o s
onsolación	o n s o l a θ j o n
onstitución	o n s t̪ i t̪ u θ j o n
ontemplar	o n t̪ e m p l a ɾ
ontesté	o n t̪ e s t̪ e
lchingen	l tʃ i ɲ ç e n
llos	ʎ o s
mpecinado	m p e θ i n a ð o
ieguito	i e ʝ i t̪ o
ieguito	j e ʝ i t̪ o
ieguito	ɟʝ e ʝ i t̪ o
ontinúo	o n t̪ i n u o
mperador	m p e ɾ a ð o ɾ
ontrato	o n t̪ ɾ a t̪ o
mperadores	m p e ɾ a ð o ɾ e s
igamos	i ɣ a m o s
onvencidos	o m b e n θ i ð o s
onvencidos	u m b e n θ i ð o s
mpujábamos	m p u x a β a m o s
ncargome	ŋ k a r ɣ o m e
nciclopedia	n θ i k l o p e ð j a
ndulza	n d̪ u l θ a
nero	n e ɾ o
ije	i ç e
nganchas	ŋ ɡ a n tʃ a s
ijéronnos	i ç e ɾ o n o s
ntrando	n t̪ ɾ a n d̪ o
ntre	n t̪ ɾ e
ntreguémonos	n t̪ ɾ e ʝ e m o n o s
ntrémonos	n t̪ ɾ e m o n o s
pístola	p i s t̪ o l a
intinguimos	i n t̪ i ŋ ɡ w i m o s
intinguimos	i n t̪ i ɲ ɟ i m o s
orps	o r p s
irigime	i ɾ i ç i m e
orral	o r a l
iscretísimo	i s k ɾ e t̪ i s i m o
orre	o r e
scaseaban	s k a s e a β a n
scondido	s k o n d̪ i ð o
scorial	s k o ɾ j a l
scribe	s k ɾ i β e
ispuso	i s p u s o
ivina	i β i n a
scríbeme	s k ɾ i β e m e
scuernavacas	s k w e r n a β a k a s
ivitias	i β i t̪ j a s
orregidor	o r e ç i ð o ɾ
orriendo	o r j e n d̪ o
orrieron	o r j e ɾ o n
spagne	e s p a ɣ n e
spartería	e s p a r t̪ e ɾ i a
orrió	o r j o
ormimos	o r m i m o s
ueños	e ɲ o s
ueños	w e ɲ o s
orrí	o r i
spañas	e s p a ɲ a s
spañas	s p a ɲ a s
ulce	u l θ e
reen	r e e n
reerán	r e e ɾ a n
renom	r e n o m
reí	r e i
reíamos	r e i a m o s
spelúy	e s p e l u i
spelúy	e s p i l u i
spelúy	e s p l u i
spelúy	s p i l u i
speramos	e s p e ɾ a m o s
speramos	s p e ɾ a m o s
uque	u c e
ávilas	a β i l a s
ícese	i θ e s e
ígnese	i ɣ n e s e
cheme	tʃ e m e
lena	l e n a
lisabeth	l i s a β e t̪
mpezaban	m p e θ a β a n
mpujé	m p u ç e
ncarecerte	ŋ k a ɾ e θ e r t̪ e
ncontrarás	ŋ k o n t̪ ɾ a ɾ a s
ruzando	r u θ a n d̪ o
ncontreme	ŋ k o n t̪ ɾ e m e
splandianes	e s p l a n d̪ j a n e s
staban	e s t̪ a β a n
staban	s t̪ a β a n
uanto	w a n t̪ o
uatrocientos	w a t̪ ɾ o θ j e n t̪ o s
uide	u i ð e
uide	w i ð e
stado	e s t̪ a ð o
nfermería	n f e r m e ɾ i a
nseñemos	n s e ɲ e m o s
ntrar	n t̪ ɾ a ɾ
ntraron	n t̪ ɾ a ɾ o n
ntretanto	n t̪ ɾ e t̪ a n t̪ o
stala	e s t̪ a l a
stala	s t̪ a l a
star	e s t̪ a ɾ
nvuelta	m b w e l t̪ a
rais	r a i s
ésares	e s a ɾ e s
adme	a ð m e
ando	a n d̪ o
arle	a r l e
ebemos	e β e m o s
scalera	s k a l e ɾ a
scondámonos	s k o n d̪ a m o n o s
ejadme	e x a ð m e
ejo	e x o
ejémonos	e ç e m o n o s
scribía	s k ɾ i β i a
steban	s t̪ e β a n
steve	s t̪ e β e
stremecime	e s t̪ ɾ e m e θ i m e
stuvo	s t̪ u β o
stábamos	s t̪ a β a m o s
el	e l
scucha	s k u tʃ a
uropa	u ɾ o p a
xcepto	ɣ θ e β t̪ o
xcuso	k s k u s o
xcuso	s k u s o
xisten	k s i s t̪ e n
xisten	s i s t̪ e n
xpóngase	k s p o ŋ ɡ a s e
xpóngase	p o ŋ ɡ a s e
xpóngase	s p o ŋ ɡ a s e
xpóngase	ʃ p o ŋ ɡ a s e
emanda	e m a n d̪ a
xtendiendo	k s t̪ e n d̪ j e n d̪ o
xtremadura	k s t̪ ɾ e m a ð u ɾ a
xtremadura	s t̪ ɾ e m a ð u ɾ a
scóiquiz	s k o i c i θ
scóiquiz	s k o i k w i θ
actor	a ɣ t̪ o ɾ
acunda	a k u n d̪ a
altos	a l t̪ o s
arnesio	a r n e s j o
avorecía	a β o ɾ e θ i a
esapareció	e s a p a ɾ e θ j o
elipe	e l i p e
spartero	e s p a r t̪ e ɾ o
emando	e m a n d̪ o
ernando	e r n a n d̪ o
ernández	e r n a n d̪ e θ
igueroa	i ʝ e ɾ o a
escalzo	e s k a l θ o
iguraos	i ɣ u ɾ a o s
esconcertose	e s k o n θ e r t̪ o s e
igurándomelo	i ɣ u ɾ a n d̪ o m e l o
ijó	i x o
inalmente	i n a l m e n t̪ e
ly	l i
esenvolví	e s e m b o l β i
spañoles	e s p a ɲ o l e s
spañoles	s p a ɲ o l e s
esgraviers	e s ɣ ɾ a β j e r s
speran	e s p e ɾ a n
speran	s p e ɾ a n
espachemos	e s p a tʃ e m o s
ocis	o θ i s
orfolleda	o r f o ʎ e ð a
orfolleda	o ɾ f o ʎ e ð a
ormamos	o r m a m o s
raiávolo	r a j a β o l o
sperarla	e s p e ɾ a r l a
sperarla	s p e ɾ a r l a
spántate	e s p a n t̪ a t̪ e
spántate	s p a n t̪ a t̪ e
espidiéronse	e s p i ð j e r o n s e
espidiéronse	e s p i ð j e ɾ o n s e
etesto	e t̪ e s t̪ o
etúveme	e t̪ u β e m e
etúveme	e ð u β e m e
rancia	r a n θ j a
rancisco	r a n θ i s k o
iable	ɟʝ a β l e
stamos	e s t̪ a m o s
stamos	s t̪ a m o s
ray	r a i
ray	r e i
ray	r e j
rente	r e n t̪ e
ruslerías	r u s l e ɾ i a s
starán	s t̪ a ɾ a n
stela	s t̪ e l a
streché	e s t̪ ɾ e tʃ e
stremeciose	e s t̪ ɾ e m e θ j o s e
uensanta	u e n s a n t̪ a
uensanta	w e n s a n t̪ a
iciendo	i θ j e n d̪ o
terno	t̪ e r n o
ictábalas	i ɣ t̪ a β a l a s
uertes	w e r t̪ e s
ulano	u l a n o
ieron	j e ɾ o n
usilarle	u s i l a r l e
ácil	a θ i l
ifícil	i f i θ i l
aceta	a θ e t̪ a
xcmo	k s k m o
xcmo	s k m o
ifícilmente	i f i θ i l m e n t̪ e
alicia	a l i θ j a
ardoncha	a r ð o n tʃ a
xcusado	k s k u s a ð o
xcusado	s k u s a ð o
igo	i ɣ o
ijéronme	i ç e ɾ o m e
ijéronme	i ç e ɾ o ŋ m e
irijo	i ɾ i x o
iríase	i ɾ i a s e
xplicadme	k s p l i k a ð m e
xplicadme	s p l i k a ð m e
isfrácese	i s f ɾ a θ e s e
isputaban	i s p u t̪ a β a n
ila	i l a
imieron	i m j e ɾ o n
obierno	o β j e r n o
odoy	o ð o i
olbasch	o l β a s k
orio	o ɾ j o
orito	o ɾ i t̪ o
abiana	a β j a n a
aetonte	a e t̪ o n t̪ e
aetonte	e t̪ o n t̪ e
ominus	o m i n u s
avorécenle	a β o ɾ e ɣ e n l e
avorécenle	a β o ɾ e θ e n l
avorécenle	a β o ɾ e θ e n l e
ranada	r a n a ð a
elizmente	e l i θ m e n t̪ e
ormí	o r m i
rande	r a n d̪ e
iero	a ʝ e ɾ o
iero	j e ɾ o
uhesme	u e e s m e
uhesme	u e s m e
igueras	i ʝ e ɾ a s
regoria	r e ɣ o ɾ j a
rijuelo	r i x w e l o
ritaba	r i t̪ a β a
uadajoz	u a ð a x o θ
uadajoz	w a ð a x o θ
uadajoz	w ð a x o θ
uadalquivir	w a ð a l c i β i ɾ
ux	u k s
éjenme	e ç e m e
uadix	w a ð i k s
uarda	w a r ð a
uardia	w a r ð j a
uarnecía	w a r n e θ i a
igurábaseme	i ɣ u ɾ a β a s e m e
igúrome	i ɣ u ɾ o m e
ijose	i x o s e
lai	l a i
lautas	l a u t̪ a s
lay	l a i
íjeles	i ç e l e s
uarromán	u a r o m a n
uarromán	w a r o m a n
uarromán	w r o m a n
boramonte	b o ɾ a m o n t̪ e
llas	ʎ a s
uillotina	i ʎ o t̪ i n a
uillotina	w i ʎ o t̪ i n a
umersinda	u m e r s i n d̪ a
orcejeaban	o ɾ θ e ç e a β a n
ormen	o r m e n
porancia	p o ɾ a n θ j a
mpecela	m p e θ e l a
uía	i a
uía	w i a
rasquita	r a s c i t̪ a
resno	r e s n o
abiendo	a β j e n d̪ o
ablando	a β l a n d̪ o
ablemos	a β l e m o s
uencarral	w e ŋ k a r a l
ncabritose	ŋ k a β ɾ i t̪ o s e
abía	a β i a
abían	a β i a n
abíase	a β i a s e
aced	a θ e ð
uente	w e n t̪ e
ncontrele	e n e i k o n t̪ ɾ e l e
ncontrele	ŋ k o n t̪ ɾ e l e
nríquez	n r i c e θ
nterado	n t̪ e ɾ a ð o
ntramos	n t̪ ɾ a m o s
ntras	n t̪ ɾ a s
ntremos	n t̪ ɾ e m o s
uentesaúco	w e n t̪ e s a u k o
uese	w e s e
acienda	a θ j e n d̪ a
rín	r i n
scocia	s k o θ j a
acíamos	a θ i a m o s
allábame	a ʎ a β a m e
annover	a n o β e ɾ
arto	a r t̪ o
scoltábanles	s k o l t̪ a β a l e s
scoltábanles	s k o l t̪ a β a n l e s
scoltábanles	s k o l t̪ a β a ʎ e s
scríbele	s k ɾ i β e l e
az	a θ
ermanuco	e r m a n u k o
errumblar	e r u m b l a ɾ
icimos	i θ i m o s
izo	i θ o
ollabrünn	o ʎ a β r w n
omero	o m e ɾ o
ope	o p e
ubiera	u β j e ɾ a
uelgas	w e l ɣ a s
uiremos	w i ɾ e m o s
ui	w i
uyamos	u ʝ a m o s
uimos	w i m o s
uncionaban	u n θ j o n a β a n
élix	e l i k s
ágame	a ɣ a m e
alván	a l β a n
etafe	e t̪ a f e
ijón	i x o n
ilimón	i l i m o n
inés	i n e s
obert	o β e r t̪
odina	o ð i n a
ércules	e r k u l e s
odoyes	o ð o ʝ e s
onzález	o n θ a l e θ
oya	o ʝ a
ozándose	o θ a n d̪ o s e
ícelo	i θ e l o
raham	r a m
raham	ɾ a m
ízome	i θ o m e
sono	s o n o
bernia	b e r ɲ j a
spartinas	e s p a r t̪ i n a s
glesia	ɡ l e s j a
guales	ɡ w a l e s
mperial	m p e ɾ j a l
mperio	m p e ɾ j o
rañena	r a ɲ e n a
sperando	e s p e ɾ a n d̪ o
sperando	s p e ɾ a n d̪ o
ncapaz	n k a p a θ
ncapaz	ŋ k a p a θ
speré	e s p e ɾ e
speré	s p e ɾ e
spoz	e s p o θ
ncorporándome	ŋ k o r p o ɾ a n d̪ o m e
neses	n e s e s
spíritu	e s p i ɾ i t̪ u
spíritu	s p i ɾ i t̪ u
nesita	n e s i t̪ a
squivias	s c i β j a s
rimarest	r i m a ɾ e s t̪
ránico	r a n i k o
uadalimas	w a ð a l i m a s
stabais	s t̪ a β a i s
uareña	w a ɾ e ɲ a
uerra	e r a
uzmán	u θ m a n
abiéndose	a β j e n d̪ o s e
stafue	e s t̪ a f w e
nglaterra	ŋ ɡ l a t̪ e r a
stará	e s t̪ a ɾ a
stará	s t̪ a ɾ a
able	a β l e
abríanlo	a β ɾ i a n l o
nmenso	m e n s o
nquisición	ɲ c i s i θ j o n
nsistí	n s i s t̪ i
abíamos	a β i a m o s
nstante	n s t̪ a n t̪ e
nterrogáronme	n t̪ e r o ɣ a r o m e
nterrogáronme	n t̪ e r o ɣ a ɾ o m e
nterrogáronme	n t̪ e r o ɣ a ɾ o ŋ m e
statuto	e s t̪ a t̪ u t̪ o
strechó	e s t̪ ɾ e tʃ o
studios	s t̪ u ð j o s
stuve	s t̪ u β e
acíales	a θ i a l e s
alleme	a l e m e
alleme	a ʎ e m e
allándome	a l a n d̪ o m e
allándome	a ʎ a n d̪ o m e
rlanda	r l a n d̪ a
ríais	r i a i s
srael	s r a e l
srael	s ɾ a e l
errera	e r e ɾ a
ugenio	u ç e ɲ j o
talia	t̪ a l j a
andulilla	a n d̪ u l i ʎ a
aén	a e n
xistiendo	k s i s t̪ j e n d̪ o
xistiendo	s i s t̪ j e n d̪ o
icieron	i θ j e ɾ o n
ill	i ʎ
ena	e n a
erusalén	e ɾ u s a l e n
esucristo	e s u k ɾ i s t̪ o
abio	a β j o
altaba	a l t̪ a β a
anny	a n i
ebrero	e β ɾ e ɾ o
imena	i m e n a
iménez	i m e n e θ
osef	o s e f
erey	e ɾ e i
osé	o s e
ernandista	e r n a n d̪ i s t̪ a
ernán	e r n a n
ide	i ð e
igúrate	i ɣ u ɾ a t̪ e
igúrense	i ɣ u ɾ e n s e
igúrese	i ɣ u ɾ e s e
ilangieri	i l a ŋ x j e ɾ i
istoria	i s t̪ o ɾ j a
ombres	o m b ɾ e s
ospicio	o s p i θ j o
lorida	l o ɾ i ð a
ubo	u β o
uerta	w e r t̪ a
orjáis	o r x a i s
uana	w a n a
umo	u m o
áblale	a β e e l e i l
áblale	a β e l e i l
áblale	a β l a l
áblale	a β l a l e
áblale	a β l e i l
áblale	a β l l
íceme	i θ e m e
orzosamente	o ɾ θ o s a m e n t̪ e
uanita	w a n i t̪ a
ulia	u l j a
ba	b a
ulio	u l j o
unio	u ɲ j o
unta	u n t̪ a
riedland	r j e ð l a n d̪
untas	u n t̪ a s
unto	u n t̪ o
irie	i ɾ i
irie	i ɾ j e
utusof	u t̪ u s o f
anceme	a n θ e m e
uenteguinaldo	w e n t̪ e ʝ i n a l d̪ o
uriosos	u ɾ j o s o s
annes	a n e s
anzarote	a n θ a ɾ o t̪ e
gnoro	n o ɾ o
gnoro	ɡ n o ɾ o
usílenme	u s i l e m e
líada	l i a ð a
aureola	a u ɾ e o l a
abrielh	a β ɾ j e l
ndia	n d̪ j a
ndias	n d̪ j a s
alias	a l j a s
allur	a l u ɾ
allur	a ʎ u ɾ
edesma	e ð e s m a
efebvre	e f e β e ɾ
efebvre	e f e β e β e ɾ
efebvre	e f e β u β e ɾ
efebvre	e f e β β e ɾ
efranc	e f ɾ a ŋ k
eith	e i t̪
eiva	e i β a
eopoldo	e o p o l d̪ o
evantamos	e β a n t̪ a m o s
evantose	e β a n t̪ o s e
evántate	e β a n t̪ a t̪ e
eían	e i a n
eón	e o n
ibro	i β ɾ o
igierelair	i x j e ɾ e l a i ɾ
imbo	i m b o
imosin	i m o s i n
inares	i n a ɾ e s
indarajas	i n d̪ a ɾ a x a s
lamada	l a m a ð a
lamas	l a m a s
audiel	a u ð j e l
ibraltar	i β ɾ a l t̪ a ɾ
ndudablemente	n d̪ u ð a β l e m e n t̪ e
nserere	n s e ɾ e ɾ e
ntenté	n t̪ e n t̪ e
nter	n t̪ e ɾ
nténtalo	n t̪ e n t̪ a l o
lamó	l a m o
lega	l e ɣ a
legaba	l e ɣ a β a
nvadiendo	m b a ð j e n d̪ o
legar	l e ɣ a ɾ
odoie	o ð o i
legué	l e ʝ e
onzalo	o n θ a l o
legó	l e ɣ o
levaba	l e β a β a
levado	l e β a ð o
levome	l e β o m e
loro	l o ɾ o
loró	l o ɾ o
obo	o β o
recia	r e θ j a
regorio	r e ɣ o ɾ j o
rita	r i t̪ a
sabel	s a β e l
stria	e s t̪ ɾ j a
turzaeta	t̪ u r θ a e t̪ a
arama	a ɾ a m a
erez	e ɾ e θ
erónimo	e ɾ o n i m o
ogis	o ç i s
ritaban	r i t̪ a β a n
uadalajara	w a ð a l a x a ɾ a
uadiel	w a ð j e l
imeno	i m e n o
oaquín	w a c i n
orge	o r ç e
uardadito	w a r ð a ð i t̪ o
opito	o p i t̪ o
ord	o r ð
uchana	u tʃ a n a
uetaria	w e t̪ a ɾ j a
ucifer	u θ i f e ɾ
usta	u s t̪ a
üelfos	w e l f o s
uis	w i s
uz	u θ
uancho	w a n tʃ o
udas	u ð a s
ágrimas	a ɣ ɾ i m a s
acedonio	a θ e ð o ɲ j o
adrid	a ð ɾ i ð
aestrich	a e s t̪ ɾ i ɣ
aimona	a i m o n a
abla	a β l a
ajestad	a ç e s t̪ a ð
ajoma	a x o m a
alas	a l a s
alayerba	a l a ʝ e r β a
ablaban	a β l a β a n
ablele	a β l e l e
ulián	u l j a n
abrías	a β ɾ i a s
alespina	a l e s p i n a
alo	a l o
alvar	a l β a ɾ
ancha	a n tʃ a
untos	u n t̪ o s
andaba	a n d̪ a β a
andándome	a n d̪ a n d̪ o m e
anuel	a n w e l
abíales	a β i a l e s
abíasele	a β i a s e l e
óvenes	o β e n e s
irieleyson	i r j e l e i s o n
irieleyson	i ɾ j e l e i s o n
anzanares	a n θ a n a ɾ e s
anzaron	a n θ a ɾ o n
aciendo	a θ j e n d̪ o
allábamonos	a ʎ a β a m o n o s
azla	a θ l a
argas	a r ɣ a s
asalle	a s a ʎ e
aragatería	a ɾ a ɣ a t̪ e ɾ i a
avapiés	a β a p j e s
archa	a r tʃ a
archaos	a r tʃ a o s
archena	a r tʃ e n a
archábamos	a r k a β a m o s
archábamos	a r tʃ a β a m o s
iguera	i ʝ e ɾ a
ipólito	i p o l i t̪ o
ariblanca	a ɾ i β l a ŋ k a
arijuán	a ɾ i x w a n
ariminguilla	a ɾ i m i ɲ ɟ i ʎ a
ariposa	a ɾ i p o s a
armolejo	a r m o l e x o
arsellesa	a r s e l e s a
arsellesa	a r s e ʎ e s a
artos	a r t̪ o s
egendre	e ç e n d̪ ɾ e
arzo	a r θ o
aréchal	a r e tʃ a l
aréchal	a ɾ e tʃ a l
ejos	e x o s
erma	e r m a
aría	a ɾ i a
etras	e t̪ ɾ a s
asones	a s o n e s
athilda	a t̪ i l d̪ a
evante	e β a n t̪ e
evanteme	e β a n t̪ e m e
evantámonos	e β a n t̪ a m o n o s
ichenstein	i tʃ e n s t̪ a i n
indo	i n d̪ o
inos	i n o s
auro	a u ɾ o
lamando	l a m a n d̪ o
lamábanle	l a m a β a l
lamábanle	l a m a β a n l e
lamábanle	l a m a β a ʎ e
lamábanle	l a m a β l
legaremos	l e ɣ a ɾ e m o s
ayo	a ʝ o
lenaban	l e n a β a n
ayor	a ʝ o ɾ
onra	o n r a
ospitalaria	o s p i t̪ a l a ɾ j a
