du	d uː
anzustellen	a n ts uː ʃ t ɛ l n̩
anstecken	a n ʃ t ɛ kʰ n̩
anzutreten	a n ts uː t ʁ eː tʰ n̩
anstieß	a n ʃ t iː s
anzuzeigen	a n ts uː ts aj ɡ n̩
antonius	a n tʰ ɔ n iː uː s
anstimmten	a n ʃ t ɪ m tʰ n̩
anzünden	a n ts ʏ n d n̩
anstrich	a n ʃ t ʁ ɪ ç
antreibe	a n t ʁ aj b ə
anzündete	a n ts ʏ n d ə tʰ ə
anton	a n tʰ oː n
anton	a n tʰ ɔ n
aplomb	a p l ɔ m p
apotheke	a pʰ ɔ tʰ eː kʰ ə
antrat	a n t ʁ aː t
antreten	a n t ʁ eː tʰ n̩
antworte	a n t v ɔ ʁ tʰ ə
appetit	a pʰ ə tʰ iː t
appetit	a pʰ ə tʰ ɪ t
april	a p ʁ ɪ l
aprilwind	a p ʁ ɪ l v ɪ n t
arabische	a ʁ a b ɪ s ç ə
arabische	a ʁ a b ɪ ʃ ə
arbeiten	a ʁ b aj tʰ n̩
arbeitenden	a ʁ b aj tʰ ə n d n̩
arbeitete	a ʁ b aj tʰ ə tʰ ə
antwortest	a n t v ɔ ɐ tʰ ə s t
anvertraut	a n f ɛ ʁ t ʁ aw t
anwandeln	a n v a n d l̩ n
arbeitetest	a ʁ b aj tʰ ə tʰ ə s t
anvertraute	a n f ɛ ʁ t ʁ aw tʰ ə
anwandte	a n v a n tʰ ə
arglistige	a ʁ k l ɪ s t ɪ ɡ ə
anweisen	a n v aj z n̩
argwohns	a ʁ k v oː n s
anwendend	a n v ɛ n d ə n t
anwesenden	a n v eː z ə n d n̩
anwesenden	a n v eː z ɛ n d n̩
ariost	a ʁ ɪ ɔ s t
anwuchs	a n v uː k s
anzug	a n ts uː k
ariosto	a ʁ ɪ ɔ s t ɔ
arm	a ʁ m
anzufachen	a n ts uː f a x n̩
arme	a ʁ m ə
anzugehören	a n ts uː ɡ ə h øː ʁ n̩
anzugaffen	a n ts uː ɡ a f n̩
armee	a ʁ m eː
anzulocken	a n ts uː l ɔ kʰ n̩
anzupochen	a n ts uː pʰ ɔ x n̩
anzuschauen	a n ts uː ʃ aw n̩
armen	a ʁ m n̩
anzunehmen	a n ts uː n eː m n̩
anzutreffen	a n ts uː t ʁ ɛ f n̩
armer	a ʁ m ɐ
anzuwenden	a n ts uː v ɛ n d n̩
anzuschmiegen	a n ts uː ʃ m iː ɡ n̩
armes	a ʁ m ə s
anzuziehen	a n ts uː ts iː n̩
anzustarren	a n ts uː ʃ t a ʁ n̩
armmuskeln	a ʁ m ʊ s k l̩ n
armselig	a ʁ m z eː l ɪ k
armselig	a ʁ m z eː l ɪ ç
anzuzünden	a n ts uː ts ʏ n d n̩
apparat	a pʰ a ʁ aː t
armut	a ʁ m uː t
applizierte	a p l ɪ ts iː ɐ tʰ ə
applizierte	a p l ɪ ts iː ʁ tʰ ə
apfel	a pf l̩
aromatischen	a ʁ oː m aː tʰ ɪ ʃ n̩
arabern	a ʁ a b ɐ n
arabien	a ʁ a b ɪ n̩
arbeit	a ʁ b aj t
arthur	aː ɐ tʰ uː ɐ
artiger	a ʁ tʰ ɪ ɡ ɐ
artiger	aː ɐ tʰ ɪ ɡ ɐ
arzt	aː ɐ ts t
apostel	a pʰ ɔ s t l̩
arbeitend	a ʁ b aj tʰ n̩ t
arbeitend	a ʁ b aj tʰ ə n t
arztes	aː ɐ ts t ə s
apothekerbursche	a pʰ ɔ tʰ eː kʰ ɐ b ʊ ʁ ʃ ə
arbeitern	a ʁ b aj tʰ ɐ n
aschenhaufen	a ʃ n̩ h aw f n̩
aschenhaufen	a ʃ ə n h aw f n̩
arbeitest	a ʁ b aj tʰ ə s t
asiatisch	a z ɪ aː tʰ ɪ ʃ
arbeite	a ʁ b aj tʰ ə
asien	a z ɪ n̩
archivarius	a ʁ ç ɪ v aː ʁ ɪ ʊ s
argwohn	a ʁ k v oː n
arbeiteten	a ʁ b aj tʰ eː tʰ n̩
arbeiteten	a ʁ b aj tʰ ə tʰ n̩
argwöhnisch	a ʁ k v øː n ɪ ʃ
asketische	a s c eː tʰ ɪ ʃ ə
arg	a ʁ k
armadillo	a ʁ m aː d ɪ l ɔ
armleuchter	a ʁ m l ɔʏ ç tʰ ɐ
arms	a ʁ m s
armseligen	a ʁ m z eː l ɪ ɡ n̩
aromatischer	a ʁ oː m aː tʰ ɪ ʃ ɐ
artige	a ʁ tʰ ɪ ɡ ə
artige	aː ɐ tʰ ɪ ɡ ə
astrologischer	a s t ʁ ɔ l oː ɟ ɪ ʃ ɐ
atemstockend	aː tʰ ə m ʃ t ɔ kʰ n̩ t
atemstockend	aː tʰ ə m ʃ t ɔ kʰ ə n t
arge	a ʁ ɡ ə
artiges	a ʁ tʰ ɪ ɡ ə s
artiges	aː ɐ tʰ ɪ ɡ ə s
athlet	a t l eː t
arglistigen	a ʁ k l ɪ s t ɪ ɡ n̩
asche	a ʃ ə
athleten	a t l eː tʰ n̩
ariadnefaden	a ʁ iː a t n f aː d n̩
ariadnefaden	a ʁ iː a t n ə f aː d n̩
aschentopf	a s c ɛ n tʰ ɔ pf
aschentopf	a ʃ n̩ tʰ ɔ pf
aschentopf	a ʃ ə n tʰ ɔ pf
aschentopf	a ʃ ɛ n tʰ ɔ pf
atmende	aː t m ə n d ə
atmende	aː t m ə n t
asiatin	a z ɪ aː tʰ ɪ n
asiatischen	a z ɪ aː tʰ ɪ ʃ n̩
auch	aw
auch	aw x
astrologie	a s t ʁ ɔ l ɔ ɟ iː
atamono	a tʰ a m ɔ n ɔ
atem	aː tʰ m̩
atem	aː tʰ ə m
atemzüge	aː tʰ ə m ts yː ɡ ə
armeen	a ʁ m eː n
armeen	a ʁ m eː n̩
audienz	aw d ɪ ɛ n ts
atemzügen	aː tʰ ə m ts yː ɡ n̩
atlas	a t l a s
auf	aw f
aufbewahrt	aw f b ə v aː ʁ t
aufbürden	aw f b ʏ ʁ d n̩
armenabfütterungen	a ʁ m eː n a p f ʏ tʰ ə ʁ ʊ ŋ n̩
armenabfütterungen	a ʁ m ə n a p f ʏ tʰ ə ʁ ʊ ŋ n̩
aufeinander	aw f aj n a n d ɐ
atmen	aː t m n̩
arrest	a ʁ ɛ s t
aufenthaltes	aw f ɛ n t h a l tʰ ə s
atmete	aː t m ə tʰ ə
art	a ʁ t
art	aː ɐ t
auffiel	aw f iː l
attentäter	a tʰ n̩ tʰ eː tʰ ɐ
auffing	aw f ɪ ŋ
artig	a ʁ tʰ ɪ k
artig	a ʁ tʰ ɪ ç
artig	aː ɐ tʰ ɪ k
artig	aː ɐ tʰ ɪ ç
aufbaute	aw f b aw tʰ ə
aufbieten	aw f b iː tʰ n̩
aufforderte	aw f ɔ ʁ d ɐ tʰ ə
aufdämmerte	aw f d ɛ m ɐ tʰ ə
artigen	a ʁ tʰ ɪ ɡ n̩
aufgab	aw f ɡ aː p
asiate	a z ɪ aː tʰ ə
aufenthalt	aw f ɛ n t h a l t
aufgebahrt	aw f ɡ ə b aː ʁ t
asiaten	a z ɪ aː tʰ n̩
auffallen	aw f a l n̩
aufgeben	aw f ɟ eː b n̩
asiatische	a z ɪ aː tʰ ɪ ʃ ə
auffallenderweise	aw f a l ə n d ɐ v aj z ə
aufgedunsen	aw f ɡ ə d ʊ n z n̩
asketischer	a s c eː tʰ ɪ ʃ ɐ
aufgangs	aw f ɡ a ŋ s
aufgefordert	aw f ɡ ə f ɔ ʁ d ɐ t
aufgeglüht	aw f ɟ eː ɡ l yː t
aufgehen	aw f ɟ eː n̩
aufgehoben	aw f ɡ ə h oː b n̩
aufgebt	aw f ɟ eː p t
atamonos	a tʰ a m ɔ n oː s
atamonos	a tʰ a m ɔ n ɔ s
aufgeholfen	aw f ɡ ə h ɔ l f n̩
aufgefallen	aw f ɡ ə f a l n̩
aufgeklärt	aw f ɡ ə k l eː ɐ t
aufgelösten	aw f ɡ ə l øː s t n̩
aufgelösten	aw f ɡ ə l œ s t n̩
aufgenommen	aw f ɡ ə n ɔ m n̩
aufgeregte	aw f ɡ ə ʁ eː k tʰ ə
aufgeregter	aw f ɡ ə ʁ eː k tʰ ɐ
aufgerichtete	aw f ɡ ə ʁ ɪ ç tʰ ə tʰ ə
aufgeführt	aw f ɡ ə f yː ɐ t
aufgeschlagen	aw f ɡ ə ʃ l aː ɡ n̩
atemloseres	aː tʰ ə m l oː z ɐ s
aufgegangen	aw f ɡ ə ɡ a ŋ n̩
aufgeschlossen	aw f ɡ ə ʃ l ɔ s n̩
athanasius	a tʰ a n a z j ʊ s
aufgehende	aw f ɟ eː ə n d ə
aufgespürt	aw f ɡ ə ʃ p yː ɐ t
attentat	a tʰ ə n tʰ aː t
aufgeht	aw f ɟ eː t
aufgestapelten	aw f ɡ ə ʃ t aː pʰ ə l tʰ n̩
aufgehört	aw f ɡ ə h øː ʁ t
aufgetan	aw f ɡ ə tʰ aː n
aufgelöst	aw f ɡ ə l øː s t
aufgelöst	aw f ɡ ə l œ s t
aufgetragen	aw f ɡ ə t ʁ aː ɡ n̩
aufgeweicht	aw f ɡ ə v aj ç t
aufbietend	aw f b iː tʰ n̩ t
aufgepflanzten	aw f ɡ ə pf l a n ts t n̩
aufgereiht	aw f ɡ ə ʁ aj t
aufgerissenen	aw f ɡ ə ʁ ɪ s n̩ n̩
aufgerissenen	aw f ɡ ə ʁ ɪ s ə n n̩
aufgeschlagenen	aw f ɡ ə ʃ l aː ɡ ə n n̩
auferlegen	aw f ɛ ʁ l eː ɡ n̩
aufgeschwollen	aw f ɡ ə ʃ v ɔ l n̩
aufgestanden	aw f ɡ ə ʃ t a n d n̩
aufgezäumte	aw f ɡ ə ts ɔʏ m tʰ ə
aufging	aw f ɟ ɪ ŋ
aufglühten	aw f ɡ l yː tʰ n̩
auffallend	aw f a l n̩ t
aufheften	aw f h ɛ f tʰ n̩
aufgestellten	aw f ɡ ə ʃ t ɛ l tʰ n̩
aufhielt	aw f h iː l t
aufhören	aw f h øː ʁ n̩
aufkeimen	aw f kʰ aj m n̩
aufklärung	aw f k l eː ʁ ʊ ŋ
auflachend	aw f l a x ə n t
auflehnen	aw f l eː n n̩
aufleuchte	aw f l ɔʏ ç tʰ ə
aufführung	aw f yː ʁ ʊ ŋ
aufleuchteten	aw f l ɔʏ ç tʰ ə tʰ n̩
aufmerksam	aw f m ɛ ʁ k z aː m
aufnahm	aw f n aː m
aufgabe	aw f ɡ aː b ə
aufgezeichnet	aw f ɡ ə ts aj ç n ə t
aufgebaut	aw f ɡ ə b aw t
aufgibt	aw f ɟ iː p t
aufgebracht	aw f ɡ ə b ʁ a x t
aufnehmen	aw f n eː m n̩
aufginge	aw f ɟ ɪ ŋ ə
aufgeflochten	aw f ɡ ə f l ɔ x tʰ n̩
aufrauschten	aw f ʁ aw ʃ t n̩
aufhalte	aw f h a l tʰ ə
aufregen	aw f ʁ eː ɡ n̩
aufhelfen	aw f h ɛ l f n̩
aufregung	aw f ʁ eː ɡ ʊ ŋ
aufhob	aw f h oː p
aufgehenden	aw f ɟ eː ə n d n̩
aufrichten	aw f ʁ ɪ ç tʰ n̩
aufhorchten	aw f h ɔ ʁ ç tʰ n̩
aufgehst	aw f ɟ eː s t
aufrichtigen	aw f ʁ ɪ ç tʰ ɪ ɡ n̩
aufklärt	aw f k l eː ɐ t
aufräumen	aw f ʁ ɔʏ m n̩
aufkreischend	aw f k ʁ aj ʃ ə n t
aufgelegt	aw f ɡ ə l eː k t
aufschluchzend	aw f ʃ l ʊ x ts n̩ t
auflehnt	aw f l eː n t
aufgemacht	aw f ɡ ə m a x t
aufschrei	aw f ʃ ʁ aj
aufleuchtete	aw f l ɔʏ ç tʰ ə tʰ ə
aufgepaßt	aw f ɡ ə pʰ a s t
aufgepaßt	aw f ɡ ə pʰ a t s t
aufgepaßt	aw f ɡ ə pʰ aː s t
aufgepaßt	aw f ɡ ə pʰ s t
aufsetzen	aw f z ɛ ts n̩
aufloderte	aw f l oː d ɐ tʰ ə
aufgeregt	aw f ɡ ə ʁ eː k t
aufsicht	aw f z ɪ ç t
aufgeregten	aw f ɡ ə ʁ eː k tʰ n̩
aufsprang	aw f ʃ p ʁ a ŋ
aufmerksamen	aw f m ɛ ʁ k z aː m n̩
aufgerichtet	aw f ɡ ə ʁ ɪ ç tʰ ə t
aufnahme	aw f n aː m ə
aufgerüttelten	aw f ɡ ə ʁ ʏ tʰ l̩ tʰ n̩
aufstampfend	aw f ʃ t a m pf ə n t
aufopferung	aw f ɔ pf ə ʁ ʊ ŋ
aufstehe	aw f ʃ t eː ə
aufrecht	aw f ʁ ɛ ç t
aufgesperrtem	aw f ɡ ə ʃ p ɛ ʁ tʰ m̩
aufgestellt	aw f ɡ ə ʃ t ɛ l t
aufgestoßen	aw f ɡ ə ʃ t oː s n̩
aufgestoßen	aw f ɡ ə ʃ t ɔ s n̩
aufgetischt	aw f ɡ ə tʰ ɪ ʃ t
aufgewacht	aw f ɡ ə v a x t
aufgezogen	aw f ɡ ə ts oː ɡ n̩
aufgibst	aw f ɟ iː p s t
aufhalten	aw f h a l tʰ n̩
aufheulend	aw f h ɔʏ l ə n t
aufhörte	aw f h øː ʁ tʰ ə
aufklatschen	aw f k l a t ʃ n̩
auflehnte	aw f l eː n tʰ ə
aufrechte	aw f ʁ ɛ ç tʰ ə
aufsteigen	aw f ʃ t aj ɡ n̩
aufregungen	aw f ʁ eː ɡ ʊ ŋ n̩
aufmerksamkeit	aw f m ɛ ʁ k z aː m kʰ aj t
aufsteigt	aw f ʃ t aj ç t
aufstellen	aw f ʃ t ɛ l n̩
aufstießen	aw f ʃ t iː s n̩
aufrichtete	aw f ʁ ɪ ç tʰ ə tʰ ə
aufnimmst	aw f n ɪ m s t
aufsuchte	aw f z uː x tʰ ə
aufriß	aw f ʁ aj s
aufriß	aw f ʁ s
aufriß	aw f ʁ ə s
aufriß	aw f ʁ ə s ɛ s
aufriß	aw f ʁ ɪ s
aufquiekendes	aw f k v iː kʰ n̩ d ə s
aufquiekendes	aw k v iː kʰ n̩ d ə s
auftauten	aw f tʰ aw tʰ n̩
aufruhr	aw f ʁ uː ɐ
aufs	aw f
aufs	aw f s
aufsah	aw f z aː
aufschauend	aw f ʃ aw ə n t
aufregend	aw f ʁ eː ɡ n̩ t
aufschluß	aw f ʃ l uː s
aufschluß	aw f ʃ l uː t s
aufschluß	aw f ʃ l uː t s ɛ t
aufschluß	aw f ʃ l ʊ s
aufschluß	aw f ʃ l ʊ s t s
aufschluß	aw f ʃ l ʊ s t s ɛ t
auftrag	aw f t ʁ aː k
aufschub	aw f ʃ uː p
auftreten	aw f t ʁ eː tʰ n̩
aufrichtig	aw f ʁ ɪ ç tʰ ɪ k
aufrichtig	aw f ʁ ɪ ç tʰ ɪ ç
aufschwung	aw f ʃ v ʊ ŋ
auftritts	aw f t ʁ ɪ t s
aufrichtigkeit	aw f ʁ ɪ ç tʰ ɪ ç kʰ aj t
aufseufzte	aw f z ɔʏ f ts t ə
aufwacht	aw f v a x t
aufschlug	aw f ʃ l uː k
aufweckt	aw f v ɛ k t
aufstampfen	aw f ʃ t a m pf n̩
aufzubewahren	aw f ts uː b ə v aː ʁ n̩
aufzufangen	aw f ts uː f a ŋ n̩
aufzufordern	aw f ts uː f ɔ ʁ d ɐ n
aufstand	aw f ʃ t a n t
aufzugeben	aw f ts uː ɟ eː b n̩
aufzunehmen	aw f ts uː n eː m n̩
aufzuschauen	aw f ts uː ʃ aw n̩
aufzuspringen	aw f ts uː ʃ p ʁ ɪ ŋ n̩
aufzusuchen	aw f ts ʊ z uː x n̩
aufzuziehen	aw f ts uː ts iː n̩
auge	aw ɡ ə
aufstehen	aw f ʃ t eː n̩
augen	aw ɡ n̩
aufsperrten	aw f ʃ p ɛ ʁ tʰ n̩
aufspringt	aw f ʃ p ʁ ɪ ŋ t
augenblick	aw ɡ n̩ b l ɪ k
augenblick	aw ɡ ə n b l ɪ k
aufstampfendem	aw f ʃ t a m pf ə n d eː m
augenblicke	aw ɡ n̩ b l ɪ kʰ ə
augenblicke	aw ɡ ə n b l ɪ kʰ ə
aufstiegen	aw f ʃ t iː ɡ n̩
augenblicklich	aw ɡ ə n b l ɪ k l ɪ ç
aufsteigenden	aw f ʃ t aj ɡ n̩ d n̩
aufsteigenden	aw f ʃ t aj ɡ ə n d n̩
auftat	aw f tʰ aː t
augenblicks	aw ɡ n̩ b l ɪ k s
augenblicks	aw ɡ ə n b l ɪ k s
aufstieg	aw f ʃ t iː k
auftischen	aw f tʰ ɪ ʃ n̩
augenbrauen	aw ɡ ə n b ʁ aw n̩
aufsuchen	aw f z uː x n̩
auftrage	aw f t ʁ aː ɡ ə
auges	aw ɡ ə s
auftauchen	aw f tʰ aw x n̩
auftritt	aw f t ʁ ɪ t
aufträgen	aw f t ʁ eː ɡ n̩
auftrat	aw f t ʁ aː t
augusten	aw ɡ ʊ s t n̩
aufwallung	aw f v a l ʊ ŋ
aufträge	aw f t ʁ eː ɡ ə
aurelie	aw ʁ l j ə
aurelie	aw ʁ ɛ l iː
aufwühlten	aw f v yː l tʰ n̩
aufwachte	aw f v a x tʰ ə
aureliens	aw ʁ l j eː n s
aureliens	aw ʁ ɛ l ɪ ə n s
aufzuborgen	aw f ts uː b ɔ ʁ ɡ n̩
aufwärterin	aw f v ɛ ʁ tʰ ə ʁ ɪ n
ausbeute	aw s b ɔʏ tʰ ə
aufzufinden	aw f ts uː f ɪ n d n̩
aufzublasen	aw f ts uː b l aː z n̩
ausblicke	aw s b l ɪ kʰ ə
aufzufrischen	aw f ts uː f ʁ ɪ ʃ n̩
aufzufassen	aw f ts uː f a s n̩
ausbrachen	aw s b ʁ aː x n̩
aufzuheben	aw f ts uː h eː b n̩
aufzufüllen	aw f ts uː f ʏ l n̩
aufzufüllen	aw f ts ʊ f ʏ l n̩
ausbreitet	aw s b ʁ aj tʰ ə t
aufzuräumen	aw f ts uː ʁ ɔʏ m n̩
aufzuschlagen	aw f ts uː ʃ l aː ɡ n̩
aufzustellen	aw f ts uː ʃ t ɛ l n̩
aufzutischen	aw f ts uː tʰ ɪ ʃ n̩
ausbruch	aw s b ʁ ʊ x
ausdenken	aw s d ɛ ŋ kʰ n̩
aufzurichten	aw f ts uː ʁ ɪ ç tʰ n̩
ausdruck	aw s d ʁ ʊ k
ausdrücken	aw s d ʁ ʏ kʰ n̩
aufzustehen	aw f ts uː ʃ t eː n̩
ausdrückliches	aw s d ʁ ʏ k l ɪ ç ə s
aufzwang	aw f ts v a ŋ
aufzählte	aw f ts eː l tʰ ə
auseinandergetrieben	aw s aj n a n d ɐ ɡ ə t ʁ iː b n̩
auseinanderzubringen	aw s aj n a n d ɐ ts uː b ʁ ɪ ŋ n̩
augenblickes	aw ɡ n̩ b l ɪ kʰ ə s
augenblickes	aw ɡ ə n b l ɪ kʰ ə s
auserlesener	aw s ɛ ɐ l eː z ə n ɐ
auserwählt	aw s ɛ ɐ v eː l t
ausfiel	aw s f iː l
augenblicken	aw ɡ n̩ b l ɪ kʰ n̩
augenblicken	aw ɡ ə n b l ɪ kʰ n̩
ausflug	aw s f l uː k
augenblicksbilder	aw ɡ n̩ b l ɪ k s b ɪ l d ɐ
augenblicksbilder	aw ɡ ə n b l ɪ k s b ɪ l d ɐ
augenblickliche	aw ɡ ə n b l ɪ k l ɪ ç ə
augenlider	aw ɡ n̩ l iː d ɐ
augenschein	aw ɡ n̩ ʃ aj n
augäpfel	aw ɟ ɛ pf l̩
aurelien	aw ʁ l j eː n
aurelien	aw ʁ ɛ l ɪ n̩
aus	aw s
ausarten	aw s a ʁ tʰ n̩
ausführliche	aw s f yː ʁ l ɪ ç ə
auguste	aw ɡ ʊ s t ə
ausblasen	aw s b l aː z n̩
ausgearbeiteten	aw s ɡ ə a ʁ b aj tʰ eː tʰ n̩
ausgearbeiteten	aw s ɡ ə a ʁ b aj tʰ ə tʰ n̩
ausgebreitet	aw s ɡ ə b ʁ aj tʰ ə t
ausgebreiteten	aw s ɡ ə b ʁ aj tʰ eː tʰ n̩
ausgedörrter	aw s ɡ ə d œ ʁ tʰ ɐ
ausbrach	aw s b ʁ aː x
ausgeführt	aw s ɡ ə f yː ɐ t
ausbreitend	aw s b ʁ aj tʰ ə n t
ausbricht	aw s b ʁ ɪ ç t
ausbrüchen	aw s b ʁ ʏ ç n̩
ausdrucks	aw s d ʁ ʊ k s
ausdrücklich	aw s d ʁ ʏ k l ɪ ç
auseinander	aw s aj n a n d ɐ
auseinandergestreut	aw s aj n a n d ɐ ɡ ə ʃ t ʁ ɔʏ t
auseinandertreiben	aw s aj n a n d ɐ t ʁ aj b n̩
auserlesenem	aw s ɛ ɐ l eː z ə n m̩
auserlesenen	aw s ɛ ɐ l eː z ə n n̩
ausgegangen	aw s ɡ ə ɡ a ŋ n̩
auserlesensten	aw s ɛ ɐ l eː z ə n s t n̩
ausgehaucht	aw s ɡ ə h aw x t
ausführlich	aw s f yː ʁ l ɪ ç
ausgehend	aw s ɟ eː ə n t
ausführung	aw s f yː ʁ ʊ ŋ
ausarbeitung	aw s a ʁ b aj tʰ ʊ ŋ
ausgelassene	aw s ɡ ə l a s ə n ə
ausgearteten	aw s ɡ ə a ʁ tʰ ə tʰ n̩
ausgelegt	aw s ɡ ə l eː k t
ausgebranntes	aw s ɡ ə b ʁ a n tʰ ə s
ausbrechend	aw s b ʁ ɛ ç n̩ t
ausgelöscht	aw s ɡ ə l øː s ç t
ausbreitete	aw s b ʁ aj tʰ ə tʰ ə
ausgemacht	aw s ɡ ə m a x t
ausgebrütet	aw s ɡ ə b ʁ yː tʰ ə t
ausgenommen	aw s ɡ ə n ɔ m n̩
ausgefallen	aw s ɡ ə f a l n̩
ausdrückten	aw s d ʁ ʏ k tʰ n̩
auseinanderschleudern	aw s aj n a n d ɐ ʃ l ɔʏ d ɐ n
auseinanderschleudern	aw s aj n a n d ɐ ʃ l ɔʏ d ə ʁ n
auseinanderzuschrauben	aw s aj n a n d ɐ ts uː ʃ ʁ aw b n̩
auserwählte	aw s ɛ ɐ v eː l tʰ ə
ausfindig	aw s f ɪ n d ɪ ç
ausführte	aw s f yː ɐ tʰ ə
ausgab	aw s ɡ aː p
ausgang	aw s ɡ a ŋ
ausgebildetsten	aw s ɡ ə b ɪ l d ə t s t n̩
ausgerissen	aw s ɡ ə ʁ ɪ s n̩
ausgehen	aw s ɟ eː n̩
ausgekämpft	aw s ɡ ə cʰ ɛ m f t
ausgelassenheit	aw s ɡ ə l a s n̩ h aj t
ausgemittelt	aw s ɡ ə m ɪ tʰ l̩ t
ausgerenkt	aw s ɡ ə ʁ ɛ ŋ k t
ausgerüstet	aw s ɡ ə ʁ ʏ s t ə t
ausgeschmückt	aw s ɡ ə ʃ m ʏ k t
ausgesogen	aw s ɡ ə z ɔ ɟ eː n
ausgebrochen	aw s ɡ ə b ʁ ɔ x n̩
ausgesprochen	aw s ɡ ə ʃ p ʁ ɔ x n̩
ausgestreckt	aw s ɡ ə ʃ t ʁ ɛ k t
ausgesöhnt	aw s ɡ ə z øː n t
ausgeburt	aw s ɡ ə b ʊ ʁ t
ausgeschlossen	aw s ɡ ə ʃ l ɔ s n̩
ausgetrocknet	aw s ɡ ə t ʁ ɔ k n eː t
ausgefragt	aw s ɡ ə f ʁ aː k t
ausgesehen	aw s ɡ ə z eː n̩
ausgeworfen	aw s ɡ ə v oː n
ausgeworfen	aw s ɡ ə v ɔ ɐ f n̩
ausgefüllt	aw s ɡ ə f ʏ l t
ausgestrecktem	aw s ɡ ə ʃ t ʁ ɛ k tʰ m̩
ausgetrockneter	aw s ɡ ə t ʁ ɔ k n eː tʰ ɐ
ausgezogen	aw s ɡ ə ts oː ɡ n̩
ausginge	aw s ɟ ɪ ŋ ə
ausgelassen	aw s ɡ ə l a s n̩
ausgängen	aw s ɟ ɛ ŋ n̩
ausholte	aw s h oː l tʰ ə
auskehrte	aw s c eː ɐ tʰ ə
auslache	aw s l a x ə
ausgelassensten	aw s ɡ ə l a s ə n s t n̩
ausgeraucht	aw s ɡ ə ʁ aw x t
ausgeräuspert	aw s ɡ ə ʁ ɔʏ ʃ p ɛ ʁ t
aushalten	aw s h a l tʰ n̩
aushöhnen	aw s h øː n n̩
ausklopfte	aw s k l ɔ pf tʰ ə
auslieferung	aw s l iː f ə ʁ ʊ ŋ
ausländer	aw s l ɛ n d ɐ
ausgesetzt	aw s ɡ ə z ɛ ts t
ausländischen	aw s l ɛ n d ɪ ʃ n̩
ausländisch	aw s l ɛ n d ɪ ʃ
ausnahmsweise	aw s n aː m s v aj z ə
auslöschte	aw s l œ ʃ t ə
ausreden	aw s ʁ eː d n̩
ausnahm	aw s n aː m
ausgesuchte	aw s ɡ ə z uː x tʰ ə
ausruf	aw s ʁ uː f
ausnehmend	aw s n eː m ə n t
ausruhen	aw s ʁ uː n̩
ausreißen	aw s ʁ aj s n̩
ausrief	aw s ʁ iː f
ausrufs	aw s ʁ uː f s
ausgezeichnetes	aw s ɡ ə ts aj ç n ə tʰ ə s
aussage	aw s z aː ɡ ə
aussah	aw s z aː
ausschlafen	aw s ʃ l aː f n̩
ausgießt	aw s ɟ iː s t
ausschmückung	aw s ʃ m ʏ kʰ ʊ ŋ
ausschlagen	aw s ʃ l aː ɡ n̩
ausschusses	aw s ʃ ʊ s ə s
ausschüttete	aw s ʃ ʏ tʰ ə tʰ ə
aushändigung	aw s h ɛ n d ɪ ɡ ʊ ŋ
ausländern	aw s l ɛ n d ɐ n
auslöschen	aw s l øː s ç n̩
auslöschen	aw s l œ ʃ n̩
ausmittlung	aw s m ɪ t l ʊ ŋ
ausnimmt	aw s n ɪ m t
aussehen	aw s z eː n̩
aussprach	aw s ʃ p ʁ aː x
ausspricht	aw s ʃ p ʁ ɪ ç t
ausspruch	aw s ʃ p ʁ ʊ x
ausstieß	aw s ʃ t iː s
ausstießen	aw s ʃ t iː s n̩
ausstreckten	aw s ʃ t ʁ ɛ k tʰ n̩
auswandern	aw s v a n d ɐ n
ausweichen	aw s v aj ç n̩
auswendig	aw s v ɛ n d ɪ k
auswendig	aw s v ɛ n d ɪ ç
auswärtigen	aw s v ɛ ʁ tʰ ɪ ɡ n̩
ausrichten	aw s ʁ ɪ ç tʰ n̩
aussprechen	aw s ʃ p ʁ ɛ ç n̩
auszubrechen	aw s ts uː b ʁ ɛ ç n̩
auszubrechen	aw s ts ʊ b ʁ ɛ ç n̩
auszuforschen	aw s ts uː f ɔ ʁ ʃ n̩
auszuforschen	aw s ts ʊ f ɔ ʁ ʃ n̩
auszulöschen	aw s ts ʊ l øː s ç n̩
auszurichten	aw s ts uː ʁ ɪ ç tʰ n̩
auszuschlagen	aw s ts uː ʃ l aː ɡ n̩
authentische	aw tʰ ɛ n tʰ ɪ ʃ ə
außenseite	aw s n̩ z aj tʰ ə
außenseite	aw s z aj tʰ ə
außenseite	aw s ə n z aj tʰ ə
außenwelt	aw s n̩ v ɛ l t
außerdem	aw s ɐ d m̩
außerordentlichen	aw s ɐ ɔ ʁ d ə n t l ɪ ç n̩
ausschlag	aw s ʃ l aː k
aß	a s
aß	aː s
aß	aː ɛ s
aß	ɛ s
ausspucken	aw s ʃ p ʊ kʰ n̩
ausstoßen	aw s ʃ t oː s n̩
ausströmen	aw s ʃ t ʁ øː m n̩
ausschlagend	aw s ʃ l aː ɡ n̩ t
ausschlagend	aw s ʃ l aː ɡ ə n t
ausschütten	aw s ʃ ʏ tʰ n̩
ausschütten	aw s ʃ ʏ tʰ ə tʰ n̩
ausströmte	aw s ʃ t ʁ øː m tʰ ə
auswandert	aw s v a n d ɐ t
ausweichend	aw s v aj ç n̩ t
auszeichnete	aw s ts aj ç n ə tʰ ə
auszubringen	aw s ts uː b ʁ ɪ ŋ n̩
